"Candidate","Human","Seshat"
"154229","26.5","27.00"
"155024","35.5","25.50"
"98389","19","13.50"
"152654","31","26.75"
"152988","27","30.25"
"153271","18.5","25.25"
"152198","30","30.50"
"80417","35","28.75"
"155007","26.5","19.50"
"154689","13.5","16.00"
"153736","25.5","18.50"
"152186","36","29.25"
"155236","30","25.75"
"142801","36","29.25"
"142923","28","23.25"
"150411","23","15.75"
"153590","23.5","10.50"
"150065","35","15.25"
"154753","26.5","21.25"
"152612","31","10.50"
"154153","25","17.50"
"154948","23.5","21.50"
"154852","24","30.00"
"144512","29","33.25"
"153428","29","24.00"
"127253","34.5","16.25"
"153230","29.5","27.75"
"153297","34","27.00"
"154282","34","16.00"
"153706","28.5","30.25"
"153474","19","24.00"
"152444","37","30.75"
"128998","21.5","12.75"
"131193","29.5","22.50"
"141772","36.5","22.00"
"154809","21.5","11.75"
"154686","8.5","10.50"
"152450","35","19.00"
"150433","28","18.50"
"153713","29","24.25"
"153850","27","27.50"
"154286","22","10.75"
"147612","21.5","21.75"
"153710","25","19.75"
"154944","16","17.75"
"146206","32","30.75"
"142146","20","11.75"
"124558","28","-1"
"152947","33.5","22.50"
"152522","39","27.25"
"153234","17.5","15.25"
"154173","28","22.75"
"155080","32","34.75"
"153487","28.5","22.50"
"153281","20","14.25"
"152716","21.5","19.75"
"153792","38.5","25.50"
"68989","12.5","16.75"
"154634","33.5","24.00"
"154305","18.5","21.25"
"148588","24","17.75"
"154362","32","12.75"
"152260","29","26.50"
"153458","30","26.50"
"154141","21.5","20.25"
"142095","32.5","-1"
"154662","19.5","10.25"
"149844","25","31.75"
"153251","35","21.00"
"154500","28.5","12.00"
"121464","30","-1"
"153904","35.5","34.00"
"153148","31.5","20.50"
